DATE,DSPIC96
1959-01-01,2200.1000000000000000
1959-04-01,2235.5666666666666667
1959-07-01,2232.5666666666666667
1959-10-01,2248.4000000000000000
1960-01-01,2274.3666666666666667
1960-04-01,2289.1000000000000000
1960-07-01,2293.4666666666666667
1960-10-01,2292.5000000000000000
1961-01-01,2314.1666666666666667
1961-04-01,2349.3000000000000000
1961-07-01,2380.5666666666666667
1961-10-01,2427.0000000000000000
1962-01-01,2450.9000000000000000
1962-04-01,2477.3666666666666667
1962-07-01,2490.7333333333333333
1962-10-01,2512.8000000000000000
1963-01-01,2534.6666666666666667
1963-04-01,2557.9333333333333333
1963-07-01,2585.9333333333333333
1963-10-01,2628.0666666666666667
1964-01-01,2679.4666666666666667
1964-04-01,2751.7333333333333333
1964-07-01,2787.6000000000000000
1964-10-01,2819.3000000000000000
1965-01-01,2852.5333333333333333
1965-04-01,2884.6333333333333333
1965-07-01,2963.6000000000000000
1965-10-01,3023.2666666666666667
1966-01-01,3053.1666666666666667
1966-04-01,3061.2333333333333333
1966-07-01,3098.6333333333333333
1966-10-01,3135.0000000000000000
1967-01-01,3182.2333333333333333
1967-04-01,3207.4666666666666667
1967-07-01,3238.0000000000000000
1967-10-01,3261.6333333333333333
1968-01-01,3316.0000000000000000
1968-04-01,3370.6000000000000000
1968-07-01,3381.3666666666666667
1968-10-01,3407.5000000000000000
1969-01-01,3415.9666666666666667
1969-04-01,3449.3333333333333333
1969-07-01,3519.7000000000000000
1969-10-01,3546.6000000000000000
1970-01-01,3583.8666666666666667
1970-04-01,3628.1000000000000000
1970-07-01,3686.0666666666666667
1970-10-01,3677.2333333333333333
1971-01-01,3750.6000000000000000
1971-04-01,3805.1333333333333333
1971-07-01,3825.1000000000000000
1971-10-01,3869.7333333333333333
1972-01-01,3887.4333333333333333
1972-04-01,3927.8000000000000000
1972-07-01,4004.1666666666666667
1972-10-01,4164.6666666666666667
1973-01-01,4196.2666666666666667
1973-04-01,4231.6666666666666667
1973-07-01,4250.8000000000000000
1973-10-01,4297.3000000000000000
1974-01-01,4226.1666666666666667
1974-04-01,4186.7666666666666667
1974-07-01,4190.4666666666666667
1974-10-01,4184.8000000000000000
1975-01-01,4178.6333333333333333
1975-04-01,4371.9333333333333333
1975-07-01,4308.3000000000000000
1975-10-01,4342.1333333333333333
1976-01-01,4394.4333333333333333
1976-04-01,4419.4333333333333333
1976-07-01,4453.9000000000000000
1976-10-01,4482.1666666666666667
1977-01-01,4492.2000000000000000
1977-04-01,4534.4000000000000000
1977-07-01,4597.3666666666666667
1977-10-01,4685.2666666666666667
1978-01-01,4722.1333333333333333
1978-04-01,4772.1333333333333333
1978-07-01,4809.1666666666666667
1978-10-01,4840.8000000000000000
1979-01-01,4899.3666666666666667
1979-04-01,4855.2666666666666667
1979-07-01,4877.3000000000000000
1979-10-01,4885.6666666666666667
1980-01-01,4902.5333333333333333
1980-04-01,4859.5333333333333333
1980-07-01,4914.0333333333333333
1980-10-01,4981.7333333333333333
1981-01-01,4974.8000000000000000
1981-04-01,4980.6000000000000000
1981-07-01,5087.9666666666666667
1981-10-01,5093.6333333333333333
1982-01-01,5105.9000000000000000
1982-04-01,5136.7666666666666667
1982-07-01,5161.3666666666666667
1982-10-01,5177.5333333333333333
1983-01-01,5226.4333333333333333
1983-04-01,5262.7000000000000000
1983-07-01,5341.5666666666666667
1983-10-01,5460.5333333333333333
1984-01-01,5569.4666666666666667
1984-04-01,5662.1666666666666667
1984-07-01,5736.8666666666666667
1984-10-01,5783.7333333333333333
1985-01-01,5768.7666666666666667
1985-04-01,5881.0333333333333333
1985-07-01,5862.6666666666666667
1985-10-01,5924.6333333333333333
1986-01-01,6002.5333333333333333
1986-04-01,6079.3000000000000000
1986-07-01,6118.1333333333333333
1986-10-01,6127.4000000000000000
1987-01-01,6183.8666666666666667
1987-04-01,6125.7000000000000000
1987-07-01,6235.5333333333333333
1987-10-01,6319.6000000000000000
1988-01-01,6412.3333333333333333
1988-04-01,6478.3666666666666667
1988-07-01,6540.9333333333333333
1988-10-01,6602.7000000000000000
1989-01-01,6677.7666666666666667
1989-04-01,6658.1666666666666667
1989-07-01,6702.4000000000000000
1989-10-01,6759.1666666666666667
1990-01-01,6811.0000000000000000
1990-04-01,6858.4333333333333333
1990-07-01,6856.1333333333333333
1990-10-01,6797.5333333333333333
1991-01-01,6814.5333333333333333
1991-04-01,6864.3666666666666667
1991-07-01,6892.3666666666666667
1991-10-01,6949.6666666666666667
1992-01-01,7089.5333333333333333
1992-04-01,7159.8666666666666667
1992-07-01,7193.1000000000000000
1992-10-01,7225.7000000000000000
1993-01-01,7252.8666666666666667
1993-04-01,7275.3333333333333333
1993-07-01,7281.6333333333333333
1993-10-01,7332.1666666666666667
1994-01-01,7380.6666666666666667
1994-04-01,7454.9666666666666667
1994-07-01,7498.4666666666666667
1994-10-01,7606.0666666666666667
1995-01-01,7671.0333333333333333
1995-04-01,7692.8333333333333333
1995-07-01,7763.3333333333333333
1995-10-01,7808.7333333333333333
1996-01-01,7882.6333333333333333
1996-04-01,7954.8666666666666667
1996-07-01,8019.3000000000000000
1996-10-01,8062.0333333333333333
1997-01-01,8138.7666666666666667
1997-04-01,8210.9333333333333333
1997-07-01,8307.5666666666666667
1997-10-01,8429.9000000000000000
1998-01-01,8607.3666666666666667
1998-04-01,8725.7333333333333333
1998-07-01,8813.6333333333333333
1998-10-01,8883.4000000000000000
1999-01-01,8980.4000000000000000
1999-04-01,8991.0666666666666667
1999-07-01,9059.8000000000000000
1999-10-01,9181.0000000000000000
